Pressure,Qual0.5,Qual1,Qual2,Qual5,Qual10,Qual20,Qual30,Qual50,Qual100,Qual200,Qual500,,,,,,,,,,,,,,,,,,,
0.7,0.034993876,0.069975506,0.139902046,0.349388214,0.697555707,1.390245574,2.078103543,3.439458374,6.760618009,13.06417646,29.53119103,,,,,,,,,,,,,,,,,,,
0.72,0.035993521,0.071974086,0.14389637,0.359352777,0.71741421,1.429681588,2.136839059,3.535970652,6.946910419,13.41122519,30.23236739,,,,,,,,,,,,,,,,,,,
0.74,0.036993156,0.073972627,0.147890534,0.369316343,0.737268741,1.469101831,2.195539343,3.632386465,7.132830616,13.75688851,30.92656694,,,,,,,,,,,,,,,,,,,
0.76,0.037992781,0.075971127,0.151884539,0.379278914,0.757119302,1.508506308,2.254204418,3.728705911,7.318379344,14.10117193,31.61385908,,,,,,,,,,,,,,,,,,,
0.78,0.038992396,0.077969588,0.155878383,0.389240488,0.776965894,1.547895028,2.312834305,3.824929085,7.503557346,14.44408096,32.29431255,,,,,,,,,,,,,,,,,,,
0.8,0.039992001,0.079968009,0.159872068,0.399201066,0.796808516,1.587267994,2.371429024,3.921056085,7.688365361,14.7856211,32.9679954,,,,,,,,,,,,,,,,,,,
0.82,0.040991596,0.081966389,0.163865593,0.409160648,0.816647171,1.626625215,2.429988597,4.017087005,7.87280413,15.12579781,33.63497499,,,,,,,,,,,,,,,,,,,
0.84,0.041991181,0.08396473,0.167858959,0.419119234,0.836481858,1.665966696,2.488513045,4.113021943,8.05687439,15.46461653,34.29531802,,,,,,,,,,,,,,,,,,,
0.86,0.042990756,0.085963031,0.171852165,0.429076824,0.856312578,1.705292444,2.547002389,4.208860993,8.240576878,15.80208268,34.94909053,,,,,,,,,,,,,,,,,,,
0.88,0.043990321,0.087961291,0.175845211,0.439033418,0.876139333,1.744602465,2.605456649,4.304604253,8.423912328,16.13820167,35.59635789,,,,,,,,,,,,,,,,,,,
0.9,0.044989877,0.089959512,0.179838097,0.448989017,0.895962123,1.783896764,2.663875848,4.400251817,8.606881473,16.47297886,36.23718484,,,,,,,,,,,,,,,,,,,
0.92,0.045989422,0.091957693,0.183830824,0.45894362,0.915780948,1.823175349,2.722260005,4.495803781,8.789485045,16.80641962,36.87163545,,,,,,,,,,,,,,,,,,,
