Bin,Filt1,Filt2,Filt3,Filt4,Filt5,Filt6,Filt7,Filt8,Filt9,Filt10,Filt11,Filt12,Filt13,Filt14,Filt15,Filt16
Aerodynamic diameter,0.498,0.62,0.796,0.962,1.19,1.48,1.91,2.32,2.76,3.4,4.22,5.25,6.49,8.12,10,12.2
"Optical diameter, nominal lower bin limit",0.3,0.37,0.46,0.57,0.71,0.88,1.09,1.35,1.68,2.08,2.58,3.2,3.96,4.92,6.1,7.56
