SimpleName,BasicCode,SampleCode,StructureCode,StructureNo,Structure,Material,Description,Layers,Treatment,Thickness,Weight,PressureDrop,Quality,Filt1,Filt2,Filt3,Filt4,Filt5,Filt6,Filt7,Filt8,Filt9,Filt10,Filt11,Filt12,Filt13,Filt14,Filt15,Filt16,Wetting (% mass change)
Gauze,W1,W1x16,W,1,Woven,Cotton-based,Medical gauze,16,None,4,609,4,56,0.95,0.94,0.93,0.91,0.86,0.85,0.84,0.84,0.8,0.75,0.7,0.67,0.68,0.58,NaN,0,
Batik cotton,W2,W2,W,1,Woven,Cotton-based,"Lightweight, fine-gauge, plain weave, light green",1,None,0.3,123,60,8,0.99,0.97,0.93,0.89,0.83,0.75,0.7,0.66,0.6,0.55,0.47,0.39,0.33,0.18,0,0,
Downproof cotton ,W3,W3,W,1,Woven,Cotton-based,"Lightweight, fine-gauge plain weave, downproof ticking, white",1,None,,144,169,6,1.01,0.96,0.85,0.74,0.64,0.51,0.44,0.41,0.38,0.33,0.32,0.3,0.36,0.43,0,NaN,
Flannel,W4,W4x3,W,1,Woven,Cotton-based,"Cotton, medium weight, woven brushed, grey",3,None,,453,33,22,0.89,0.88,0.82,0.78,0.72,0.63,0.58,0.55,0.49,0.41,0.31,0.22,0.11,0,0,0,
Quilting cotton,W5,W5,W,1,Woven,Cotton-based,"Lightweight, plain weave, green",1,None,0.26,105,5,9,1.01,1.02,1.01,1.02,1.01,1,0.98,0.98,0.96,0.92,0.91,0.84,0.86,0.29,0,0,143%
Quilting cotton,W5,W5 WDx10,W,1,Woven,Cotton-based,"Lightweight, plain weave, green",1,Launder,,105,10,20,0.99,0.99,0.97,0.96,0.94,0.91,0.87,0.86,0.82,0.76,0.64,0.57,0.39,0.35,0,0,
"Cotton, 600TC",W6,W6,W,1,Woven,Cotton-based,"Medium weight, plain weave, white",1,None,0.25,121,35,12,1.01,1,0.97,0.94,0.9,0.82,0.76,0.72,0.66,0.57,0.47,0.37,0.34,0.2,0.4,0,
"Spandex cotton, thick",W7,W7,W,1,Woven,Cotton spandex,"Cotton and spandex blend, medium weight, plain weave, black",1,None,,140,65,10,1,0.98,0.93,0.87,0.81,0.7,0.64,0.6,0.54,0.46,0.39,0.36,0.35,0.28,0,0,
"Spandex cotton, thin",W8,W8,W,1,Woven,Cotton spandex,"Cotton and spandex blend, lightweight, plain weave, plaid",1,None,0.27,144,64,10,1.02,1.02,0.96,0.91,0.84,0.71,0.64,0.59,0.51,0.41,0.33,0.25,0.23,0.16,0.09,0,
Polyester satin,W9,W9,W,1,Woven,Polyester,"Lightweight, fine-gauge, satin weave, purple",1,None,0.23,86,10,14,1,1.01,1,0.98,0.97,0.94,0.91,0.89,0.87,0.79,0.72,0.69,0.48,0.57,0,0,101%
Polyester satin,W9,W9 WDx10,W,1,Woven,Polyester,"Lightweight, fine-gauge, satin weave, purple",1,Launder,,86,5,26,0.98,0.97,0.95,0.94,0.92,0.91,0.9,0.89,0.88,0.83,0.8,0.73,0.51,0.69,0.5,0,
Polyester peel ply,W10,W10,W,1,Woven,Polyester,Unknown biocompatibility,1,None,0.07,65,64,0,1.01,1.01,1.01,1.02,1.04,1.01,0.99,1,1,0.97,0.97,0.83,0.76,1.19,0.29,0.4,48%
Polyester crepe,W11,W11,W,1,Woven,Polyester,"Lightweight, fine-gauge, plain weave, smooth, beige",1,None,,130,43,7,1.06,1.04,1.01,0.99,0.94,0.84,0.81,0.78,0.73,0.67,0.62,0.59,0.52,0.52,0.35,NaN,
Polyester crepe,W11,W11,W,1,Woven,Polyester,"Lightweight, fine-gauge, plain weave, smooth, beige",1,None,0.34,130,50,6,0.96,0.97,0.95,0.94,0.91,0.84,0.81,0.78,0.73,0.66,0.59,0.52,0.43,0.44,NaN,NaN,
Polycotton,W12,W12,W,1,Woven,Polyester,"Polyester and cotton blend, medium weight, plain weave, yellow",1,None,,112,29,9,0.98,0.98,0.96,0.94,0.92,0.87,0.83,0.81,0.78,0.74,0.68,0.59,0.6,0.61,0.22,NaN,132%
Polycotton,W12,W12 WDx10,W,1,Woven,Polyester,"Polyester and cotton blend, medium weight, plain weave, yellow",1,Launder,,112,24,12,0.98,0.97,0.95,0.93,0.9,0.85,0.82,0.8,0.75,0.68,0.65,0.52,0.34,0.22,0,0,
Spandex PC,W13,W13,W,1,Woven,Polyester,"Polyester, cotton and spandex blend, medium weight, fine-gauge, plain weave, light blue",1,None,0.23,125,58,11,1,0.99,0.94,0.9,0.83,0.73,0.65,0.6,0.52,0.39,0.34,0.22,0.16,0.08,0,0,
Spandex PC,W13,W13,W,1,Woven,Polyester,"Polyester, cotton and spandex blend, medium weight, fine-gauge, plain weave, light blue",1,None,,125,57,11,0.94,0.93,0.87,0.85,0.8,0.69,0.63,0.59,0.52,0.44,0.33,0.18,0.1,0,0,0,
Wool blend,W14,W14,W,1,Woven,Wool,"Medium weight, woven brushed, blue",1,None,2.2,417,3,22,0.99,0.99,0.98,0.97,0.96,0.94,0.94,0.93,0.94,0.93,0.9,0.81,0.78,0.75,0.85,0.83,
Melton wool,W15,W15,W,1,Woven,Wool,"Medium weight, twill weave, brown",1,None,,440,20,24,0.9,0.9,0.87,0.85,0.8,0.74,0.7,0.67,0.62,0.54,0.45,0.33,0.23,0.12,0.67,NaN,
Melton wool,W15,W15 WDx10,W,1,Woven,Wool,"Medium weight, twill weave, brown",1,Launder,,440,25,18,0.88,0.87,0.85,0.84,0.8,0.74,0.71,0.7,0.63,0.58,0.47,0.4,0.26,0.09,0,0,
Silk,W16,W16,W,1,Woven,Silk,"Natural silk, lightweight, plain weave, white",1,None,0.18,76,8,13,0.98,0.99,0.98,0.97,0.98,0.95,0.92,0.92,0.9,0.88,0.77,0.85,0.7,0.76,0,0,214%
